"Inception";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year1";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year2";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year3";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year4";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin"
"2018-08-02";"FTS.TO";"42.740002000000";"0.012998491567";"Core";"2019-08-01";"FTS.TO";"52.509998000000";"0.011798294725";"Core";"2020-08-04";"FTS.TO";"54.619999000000";"0.010468197303";"Core";"2021-08-03";"FTS.TO";"56.820000000000";"0.014807321274";"Core";"2022-08-02";"FTS.TO";"60.270000000000";"0.012356715418";"Core"
"2018-08-02";"ATD.TO";"30.075001000000";"0.120909842575";"Value";"2019-08-01";"ATD.TO";"40.549999000000";"0.120909842575";"Value";"2020-08-04";"ATD.TO";"46.480000000000";"0.120909842575";"Value";"2021-08-03";"ATD.TO";"51.959999000000";"0.016192301982";"Core";"2022-08-02";"ATD.TO";"57.470001000000";"0.012958747612";"Core"
"2018-08-02";"MG.TO";"76.440002000000";"0.043607185323";"Growth";"2019-08-01";"MG.TO";"64.180000000000";"0.009652982743";"Core";"2020-08-04";"MG.TO";"63.279999000000";"0.009035602643";"Core";"2021-08-03";"MG.TO";"106.110001000000";"0.047574327784";"Growth";"2022-08-02";"MG.TO";"81.470001000000";"0.009141269536";"Core"
"2018-08-02";"IMO.TO";"43.009998000000";"0.012916893313";"Core";"2019-08-01";"IMO.TO";"35.490002000000";"0.017456421457";"Core";"2020-08-04";"IMO.TO";"21.870001000000";"0.026144165527";"Core";"2021-08-03";"IMO.TO";"34.950001000000";"0.024073017760";"Core";"2022-08-02";"IMO.TO";"59.160000000000";"0.095673059679";"Growth"
"2018-08-02";"PPL.TO";"46.799999000000";"0.011870845458";"Core";"2019-08-01";"PPL.TO";"48.450001000000";"0.012786964285";"Core";"2020-08-04";"PPL.TO";"33.919998000000";"0.016856514149";"Core";"2021-08-03";"PPL.TO";"41.160000000000";"0.133795705505";"Value";"2022-08-02";"PPL.TO";"48.169998000000";"0.133795705505";"Value"
"2018-08-02";"AEM.TO";"53.759998000000";"0.067640695157";"Value";"2019-08-01";"AEM.TO";"71.870003000000";"0.067640695157";"Value";"2020-08-04";"AEM.TO";"108.620003000000";"0.067640695157";"Value";"2021-08-03";"AEM.TO";"80.260002000000";"0.068614890373";"Value";"2022-08-02";"AEM.TO";"54.369999000000";"0.068614890373";"Value"
"2018-08-02";"ENB.TO";"46.189999000000";"0.078726211628";"Value";"2019-08-01";"ENB.TO";"44.400002000000";"0.078726211628";"Value";"2020-08-04";"ENB.TO";"43.950001000000";"0.078726211628";"Value";"2021-08-03";"ENB.TO";"49.450001000000";"0.017014195708";"Core";"2022-08-02";"ENB.TO";"56.630001000000";"0.013150966362";"Core"
"2018-08-02";"CVE.TO";"13.110000000000";"0.277373275085";"Value";"2019-08-01";"CVE.TO";"12.010000000000";"0.277373275085";"Value";"2020-08-04";"CVE.TO";"6.180000000000";"0.277373275085";"Value";"2021-08-03";"CVE.TO";"10.530000000000";"0.522984922943";"Value";"2022-08-02";"CVE.TO";"23.840000000000";"0.522984922943";"Value"
"2018-08-02";"CNQ.TO";"45.504406000000";"0.012208829966";"Core";"2019-08-01";"CNQ.TO";"31.586679000000";"0.019613598265";"Core";"2020-08-04";"CNQ.TO";"23.868755000000";"0.023954870131";"Core";"2021-08-03";"CNQ.TO";"40.871693000000";"0.020585200490";"Core";"2022-08-02";"CNQ.TO";"68.148872000000";"0.083053732872";"Growth"
"2018-08-02";"MRU.TO";"43.230000000000";"0.012851157889";"Core";"2019-08-01";"MRU.TO";"52.540001000000";"0.011791557302";"Core";"2020-08-04";"MRU.TO";"58.990002000000";"0.135697926693";"Growth";"2021-08-03";"MRU.TO";"65.050003000000";"0.012933927071";"Core";"2022-08-02";"MRU.TO";"70.180000000000";"0.010611844375";"Core"
"2018-08-02";"AQN.TO";"12.940000000000";"0.042933195947";"Core";"2019-08-01";"AQN.TO";"16.690001000000";"0.037119736087";"Core";"2020-08-04";"AQN.TO";"18.389999000000";"0.031091514807";"Core";"2021-08-03";"AQN.TO";"19.879999000000";"0.042321531042";"Core";"2022-08-02";"AQN.TO";"17.950001000000";"0.041489648844";"Core"
"2018-08-02";"CP.TO";"52.619999000000";"0.010557878489";"Core";"2019-08-01";"CP.TO";"62.166000000000";"0.067042060406";"Growth";"2020-08-04";"CP.TO";"72.321999000000";"0.007905933660";"Core";"2021-08-03";"CP.TO";"93.099998000000";"0.054222471291";"Growth";"2022-08-02";"CP.TO";"99.870003000000";"0.007457086371";"Core"
"2018-08-02";"CAR.UN.TO";"43.500000000000";"0.076628352490";"Growth";"2019-08-01";"CAR.UN.TO";"49.220001000000";"0.084675673354";"Growth";"2020-08-04";"CAR.UN.TO";"47.730000000000";"0.011979319636";"Core";"2021-08-03";"CAR.UN.TO";"62.060001000000";"0.013557073497";"Core";"2022-08-02";"CAR.UN.TO";"47.150002000000";"0.015795105125";"Core"
"2018-08-02";"BAM.A.TO";"36.320000000000";"0.015296133138";"Core";"2019-08-01";"BAM.A.TO";"43.446667000000";"0.014259515751";"Core";"2020-08-04";"BAM.A.TO";"42.660000000000";"0.013403022180";"Core";"2021-08-03";"BAM.A.TO";"68.230003000000";"0.073986688359";"Growth";"2022-08-02";"BAM.A.TO";"63.009998000000";"0.089827303448";"Growth"
"2018-08-02";"CCL.B.TO";"66.209999000000";"0.050344863067";"Growth";"2019-08-01";"CCL.B.TO";"65.190002000000";"0.009503427112";"Core";"2020-08-04";"CCL.B.TO";"45.209999000000";"0.012647045761";"Core";"2021-08-03";"CCL.B.TO";"71.309998000000";"0.011798513790";"Core";"2022-08-02";"CCL.B.TO";"63.009998000000";"0.011819382033";"Core"
"2018-08-02";"GIB.A.TO";"82.900002000000";"0.006701514381";"Core";"2019-08-01";"GIB.A.TO";"102.019997000000";"0.040852154967";"Growth";"2020-08-04";"GIB.A.TO";"94.150002000000";"0.006072999618";"Core";"2021-08-03";"GIB.A.TO";"114.040001000000";"0.007377691927";"Core";"2022-08-02";"GIB.A.TO";"110.019997000000";"0.006769126146";"Core"
"2018-08-02";"NA.TO";"64.440002000000";"0.008621283959";"Core";"2019-08-01";"NA.TO";"63.820000000000";"0.009707433914";"Core";"2020-08-04";"NA.TO";"63.830002000000";"0.008957745704";"Core";"2021-08-03";"NA.TO";"95.750000000000";"0.052721796018";"Growth";"2022-08-02";"NA.TO";"90.610001000000";"0.008219172608";"Core"
"2018-08-02";"RCI.B.TO";"66.699997000000";"0.008329169124";"Core";"2019-08-01";"RCI.B.TO";"69.110001000000";"0.008964381760";"Core";"2020-08-04";"RCI.B.TO";"56.320000000000";"0.010152218150";"Core";"2021-08-03";"RCI.B.TO";"63.990002000000";"0.013148178911";"Core";"2022-08-02";"RCI.B.TO";"57.610001000000";"0.012927256124";"Core"
"2018-08-02";"POW.TO";"29.350000000000";"0.018928639031";"Core";"2019-08-01";"POW.TO";"27.959999000000";"0.022157670049";"Core";"2020-08-04";"POW.TO";"23.860001000000";"0.023963658938";"Core";"2021-08-03";"POW.TO";"40.180000000000";"0.020939571797";"Core";"2022-08-02";"POW.TO";"34.590000000000";"0.021530478122";"Core"
"2018-08-02";"SJR.B.TO";"26.770000000000";"0.020752915785";"Core";"2019-08-01";"SJR.B.TO";"26.049999000000";"0.023782282388";"Core";"2020-08-04";"SJR.B.TO";"24.690001000000";"0.023158076268";"Core";"2021-08-03";"SJR.B.TO";"36.610001000000";"0.022981479700";"Core";"2022-08-02";"SJR.B.TO";"34.450001000000";"0.164296605118";"Growth"
"2018-08-02";"TECK.B.TO";"32.290001000000";"0.017205188552";"Core";"2019-08-01";"TECK.B.TO";"25.320000000000";"0.024467947568";"Core";"2020-08-04";"TECK.B.TO";"14.050000000000";"0.040695581937";"Core";"2021-08-03";"TECK.B.TO";"28.020000000000";"0.030026837787";"Core";"2022-08-02";"TECK.B.TO";"36.119999000000";"0.156700397766";"Growth"
