"","2020-09-02_to_2023-01-13_Index_7QRank","2020-09-02_to_2023-01-13_TSX60_Index"
"2021-11-09",0,0
"2021-11-10",0,0
"2021-11-11",0,0
"2021-11-12",0,0
"2021-11-15",-0.881385689562642,-0.369531816693236
"2021-11-16",-0.883333980771739,-0.209966302554687
"2021-11-17",-1.3419757282755,-0.510779509749615
"2021-11-18",-1.6054722950272,-0.379463534222335
"2021-11-19",-2.48335873583151,-0.723033627051006
"2021-11-22",-3.01466203280456,-1.34528863193268
"2021-11-23",-2.20352912074404,-1.01774854543951
"2021-11-24",-1.80283593556697,-0.56422561679178
"2021-11-25",-1.58188709512875,-0.228291775191214
"2021-11-26",-4.67948660355395,-2.46992173990224
"2021-11-29",-3.98701822281157,-2.40349859670493
"2021-11-30",-6.45077788052643,-4.67261294459356
"2021-12-01",-7.58996059339609,-5.37732109900805
"2021-12-02",-5.95522947271458,-3.96637447931172
"2021-12-03",-7.25105706035914,-4.44051069534264
"2021-12-06",-5.71461424893119,-3.46933716115091
"2021-12-07",-3.82245502032658,-2.16451760010528
"2021-12-08",-4.11258890237973,-2.44930845251904
"2021-12-09",-5.1050040510174,-3.07690424232778
"2021-12-10",-5.58904479807375,-3.17997067924377
"2021-12-13",-6.35184056058445,-3.87551992311718
"2021-12-14",-6.72137239770195,-4.15496233904955
"2021-12-15",-6.20392421340168,-3.55638124328576
"2021-12-16",-6.53905690631347,-3.74496145146925
"2021-12-17",-6.48570555644764,-3.84574772519288
"2021-12-20",-7.23037941042275,-4.68940810636273
"2021-12-21",-4.60580885785119,-3.00131453703505
"2021-12-22",-3.69083279427097,-2.34012842368798
"2021-12-23",-3.22246444573608,-1.59953447943414
"2021-12-24",-3.14826179095326,-1.62014776681734
"2021-12-29",-2.69697516355207,-1.02461964123393
"2021-12-30",-3.19668418202563,-1.32085721893546
"2021-12-31",-3.36612584030732,-1.73925186162316
"2022-01-04",-2.17104702240791,-1.70489638265118
"2022-01-05",-3.31701573007026,-2.44396001603766
"2022-01-06",-3.47990224788508,-2.2240696475082
"2022-01-07",-3.10478965564184,-2.14238165340906
"2022-01-10",-3.07131809478276,-2.0767160140911
"2022-01-11",-1.71150358998716,-1.26969892663996
"2022-01-12",-0.78022281921668,-0.722268471617327
"2022-01-13",-1.44818028157599,-1.22694204100621
"2022-01-14",-1.38090023227733,-0.723033627051006
"2022-01-17",-0.50365172838035,0
"2022-01-18",-2.06644675180863,-1.25729143528426
"2022-01-19",-2.43060174123245,-1.71323656782354
"2022-01-20",-3.45945484240053,-2.38953607831102
