"Date","BTC.USD","SOL.USD","BCH.USD","MATIC.USD","ALGO.USD","LINK.USD","ETH.USD","LTC.USD","ADA.USD","AVAX.USD"
"2022-04-09",-26.5479717572946,306.694778563464,-48.706144254324,298.343321463644,-43.43124773623,-51.2108050251029,57.4201182411125,-49.1679111544317,-13.1715605630058,168.276641229508
"2022-04-10",-29.4106225960452,316.30623718491,-52.3797511819961,299.883114673154,-45.9031711481283,-51.8836251410338,50.3723759344775,-56.5082188166566,-15.4151193263962,157.253730230115
"2022-04-11",-34.3544133836684,255.647627138729,-57.6859904309603,259.799963296018,-54.5268361210348,-59.4542993401197,38.1615461062198,-59.5451694537091,-27.3368147244688,134.706218739243
"2022-04-12",-33.0023875727235,262.324436521265,-54.8618142792491,289.02146104948,-51.1031254490248,-57.7906335417453,41.6491846427733,-57.1244053595181,-27.4275962730041,125.357496501
"2022-04-13",-35.1740324170006,282.722174399036,-54.2118254310888,236.459009557566,-50.7825183667759,-59.9964914888285,35.6280819666722,-58.6179334779017,-30.9600746855402,137.581190995384
"2022-04-14",-36.720474679944,280.386703572272,-58.7688521104645,231.012105720073,-50.4576023790686,-67.0574629843633,24.0155742279333,-61.6044145351416,-35.9351939646288,99.719521695574
"2022-04-15",-35.9486727456408,264.183738813215,-60.7659102617142,215.409287313121,-53.0318640123274,-66.971968061684,20.7136253072209,-61.2306400537405,-35.561235647157,108.48452374539
"2022-04-16",-34.3468356880204,302.629615212853,-69.0994621884581,218.694366097144,-50.6699147381242,-66.3895288428183,25.9201327597608,-63.159684645509,-32.768222427201,118.600581056266
"2022-04-17",-34.5510007113187,300.040645622364,-67.336241959213,229.861933327262,-58.1242556780501,-65.9046728002476,27.6561762666885,-64.2201025923626,-33.7507013298731,120.460260651748
"2022-04-18",-27.3764026052501,216.251721168091,-64.7897633224147,291.609557427508,-49.3115035508013,-64.0666197203649,36.6749885934454,-59.2725649165758,-26.5598380557914,165.933162488727
"2022-04-19",-25.52122574518,242.790716953989,-61.9299554701812,336.484107579462,-41.2773764671591,-60.2603478437742,43.2980614711639,-56.5468742614612,-20.4202314102569,205.466337146511
"2022-04-20",-26.7360402121145,232.064282925046,-64.8534746185818,315.122802497043,-42.5836412655802,-63.9953511411393,32.0801391757951,-57.0862597492935,-25.9565664560712,186.216402148402
"2022-04-21",-24.818580983553,213.031730466808,-65.4361838896033,284.117651971305,-40.7397543551824,-62.7055326795962,26.3338007804353,-58.6570055826805,-24.5506262766887,189.847832549906
"2022-04-22",-23.2253189949234,158.777447217332,-62.4194172198865,300.388902402381,-38.0979507668514,-61.3737201563766,23.3531236520012,-58.2735455913389,-20.9118958132268,208.396422677931
"2022-04-23",-22.7169547341295,172.441164333143,-62.6335841421728,257.76384989314,-39.1697357219131,-61.938662541521,24.3074628027251,-56.2873279356152,-23.1200603615811,210.318725616717
"2022-04-24",-21.1416401223454,143.599244486308,-59.9391478288264,280.344794413572,-35.6134674181445,-57.3097559090227,32.1531316854836,-53.4671000081526,-19.5218617067158,228.793202387654
"2022-04-25",-17.4391907453439,113.748594873638,-58.4570616144668,253.283501008138,-35.713991914365,-57.3290170792769,29.9359305771224,-53.1879975347809,-17.4183321847002,238.239867844589
"2022-04-26",-29.4405342626863,117.802946968265,-65.1652951129852,132.221460295632,-47.0671817092045,-64.8378246735412,10.8036547349465,-60.2254165856089,-32.9309354231985,159.538669195735
"2022-04-27",-28.6954417647333,127.523447465323,-65.3849797644748,51.027194105342,-48.7925558001781,-65.4067408647132,8.48951915078404,-61.2794635046594,-35.6815644638147,151.102796260438
"2022-04-28",-27.4527250347058,119.037529236669,-66.2872106930864,60.2487605304787,-45.6932906852165,-65.0399768508939,6.93861673140485,-60.0304496053052,-36.8142933937077,137.646365340004
"2022-04-29",-27.9063666014593,121.408730990969,-66.535616394143,28.029503677296,-51.7496649029715,-67.1552757319183,2.13012241754556,-60.7262157279442,-38.4530287902117,127.058365659841
"2022-04-30",-34.6930559258863,98.100218872795,-71.9486927405808,26.2235427167523,-59.5347117382907,-71.1579388922293,-1.55128205428237,-64.5362617094042,-44.0526038320114,73.3014083047178
"2022-05-01",-33.4767587175195,81.1252103749974,-71.7025545301874,39.951018084164,-56.8484371438034,-72.4877269360655,-4.01021778924718,-64.0810211546378,-41.5888744936518,84.5550142576982
"2022-05-02",-31.9643393686494,86.7758019254318,-70.7495669415823,30.6943986260964,-55.5951333063714,-71.7027699075779,-3.20609592523767,-62.582090361446,-41.0972315595578,93.3147741846371
"2022-05-03",-34.0030423524945,86.8832633930186,-72.5270006589246,35.1471288305183,-53.3539700060239,-73.5580622136473,-18.8747769553986,-66.2905781295613,-43.3826714536391,66.0346646139186
"2022-05-04",-25.5658413233997,117.111661138916,-68.6074482395684,66.2493274255625,-44.1196990862773,-73.4151089768192,-9.61955348943483,-65.2962468170266,-29.6025228571137,120.958310561844
"2022-05-05",-36.3068827517123,88.3109750657428,-80.9411903105429,31.2674997071824,-56.0234235196154,-77.9130978906335,-21.959059738369,-72.7784209239622,-46.3818061183481,67.675017629609
"2022-05-06",-36.0937081385513,88.155179356658,-81.7380932228099,37.0640009976568,-54.8174512873874,-77.0837276987234,-22.7994245122759,-72.6198236150628,-52.5272646176893,50.1660323863796
