"Date","UNTR.JK","INDF.JK","INKP.JK","BRPT.JK","ADRO.JK","INCO.JK","SMGR.JK","BNLI.JK","CPIN.JK","MDKA.JK","BMRI.JK","MYOR.JK","TBIG.JK","GGRM.JK","TPIA.JK","ICBP.JK","BYAN.JK","BBNI.JK","AMRT.JK","ASII.JK","EMTK.JK","HMSP.JK","TOWR.JK","MEGA.JK","BBRI.JK","DNET.JK","TLKM.JK","BBCA.JK","UNVR.JK","ISAT.JK"
"2017-01-10",-4.66883821932682,8.13559322033898,4.56852791878173,497.826124290121,72.8205128205128,-9.29133858267716,-32.0297951582868,-63.6219803564133,-15.2909336941813,NA,-5,61.1570247933884,-44.6808510638298,17.7570093457944,603.333347368756,23.1578947368421,-24.6006389776358,-21.4035087719298,1.76991150442478,0.613496932515337,-25.6637168141593,40.2290978223744,-12.5,13.8392857142857,-9.40499040307102,22.1621621621622,41.5929203539823,2.32558139534884,1.77664974619289,45.9589867310012
"2017-01-11",-5.32030401737242,7.79661016949153,4.06091370558376,497.826124290121,78.974358974359,-4.88188976377953,-34.0782122905028,-63.9619624178512,-15.020297699594,NA,-5.20833333333333,60.6978879706152,-46.2765957446808,18.0373831775701,606.666671646978,20.3508771929825,-24.6006389776358,-21.4035087719298,3.53982300884956,-1.53374233128834,-25.6637168141593,40.2290978223744,-15,13.8392857142857,-9.40499040307102,18.9189189189189,40.1769911504425,1.66112956810631,1.45939086294416,49.5778045838359
"2017-01-12",-7.81758957654723,6.77966101694915,1.01522842639594,503.26086086459,75.8974358974359,-7.08661417322835,-35.195530726257,-64.3019444089309,-13.6671177266576,NA,-5.83333333333333,60.6978879706152,-47.1276595744681,18.2242990654206,607.500002886317,20,-24.6006389776358,-22.1052631578947,3.53982300884956,-2.76073619631902,-25.6637168141593,38.4540459512052,-14.5,13.8392857142857,-8.82917466410749,22.1621621621622,40.1769911504425,1.82724252491694,1.39593908629442,48.9746682750302
"2017-01-13",-4.77741585233442,7.14285714285714,1.51515151515152,496.428578985768,78.0104712041885,-21.8897637795276,-32.5,-55.5941687497693,-11.4568599717115,NA,-7.88381742738589,63.2558139534884,-45.6756756756757,21.0172744721689,607.500002886317,20.0704225352113,-24.3589743589744,-23.9583333333333,-0.884955752212389,-2.14067278287462,-8.94308943089431,38.4540459512052,-17.0984455958549,15.9090909090909,-8.07692307692308,22.1621621621622,41.3237924865832,1.66389351081531,-0.43997485857951,50.2433090024331
"2017-01-16",-6.40608034744843,4.69798657718121,13.265306122449,538.576742612687,76.1658031088083,-16.0535117056856,-36.4963503649635,-49.3427572756863,-14.945652173913,NA,-8.95833333333333,76.9153225806452,-47.1618037135279,28.3900457084815,608.333334125655,17.3611111111111,-24.6006389776358,-23.4265734265734,11.8181818181818,-0.93167701863354,-20.7547169811321,40.8887699543543,-17.75,15.6462585034014,-9.33333333333333,18.2795698924731,40.5693950177936,1.84563758389262,4.00262467191601,52.0935960591133
"2017-01-17",-6.95652173913043,6.12244897959184,7.92079207920792,547.169886323739,77.0833333333333,-16.7224080267559,-37.5,-54.4424832018173,-11.8219749652295,NA,-8.95833333333333,76.4112903225807,-46.4864864864865,23.7623762376238,609.166664685861,17.4216027874564,-24.6006389776358,-21.6312056737589,1.81818181818182,0.940438871473354,-23.6363636363636,39.6310529684778,-12.5,15.6462585034014,-8.26923076923077,22.7027027027027,41.5329768270945,2.88135593220339,3.9344262295082,47.5609756097561
"2017-01-18",-5.65217391304348,8.16326530612245,7.42574257425743,537.735865858988,79.1666666666667,-17.3913043478261,-36.5942028985507,-52.4025911146228,-9.87482614742698,NA,-7.91666666666667,76.9153225806452,-46.1621621621622,24.7524752475248,614.9999826821,19.5121951219512,-24.6006389776358,-20.9219858156028,0,1.88087774294671,-24.7727272727273,38.2062463055342,-12.75,15.6462585034014,-8.07692307692308,22.1621621621622,41.1764705882353,3.72881355932203,7.27868852459016,48.780487804878
"2017-01-19",-5.32608695652174,9.18367346938776,7.42574257425743,566.037805990075,80.2083333333333,-19.7324414715719,-36.7753623188406,-52.4025911146228,-10.1529902642559,NA,-7.91666666666667,76.4112903225807,-45.1351351351351,25.5445544554455,615.833313921439,19.8606271777003,-24.6006389776358,-22.6950354609929,-0.909090909090909,2.19435736677116,-20.9090909090909,37.8500446397983,-12.75,15.6462585034014,-7.69230769230769,22.1621621621622,41.5329768270945,4.23728813559322,5.9672131147541,48.780487804878
"2017-01-20",-2.00445434298441,8.05369127516778,5.55555555555556,559.259269728396,82.1052631578947,-20,-37.2727272727273,-52.8403188220972,-10.1983002832861,NA,-8.90269151138716,77.9233870967742,-46.6666666666667,19.7318007662835,614.9999826821,19.7183098591549,-25.5520504731861,-24.0418118466899,1.85185185185185,3.8961038961039,-18.8073394495413,36.4252379768546,-12.75,15.6462585034014,-10.2661596958175,22.7027027027027,35.0970017636684,3.74149659863946,5.46875,49.390243902439
"2017-01-23",-4.3525571273123,9.45945945945946,6.12244897959184,529.893232049826,76.0204081632653,-15.4562383612663,-36.5313653136531,-53.1845505884347,-9.48905109489051,NA,-8.54166666666667,70.3667953667954,-46.8085106382979,19.5386064030132,614.9999826821,19.8581560283688,-26.7080745341615,-22.4561403508772,0.934579439252336,1.58227848101266,-23.7068965517241,38.4228651929326,-12.75,21.4285714285714,-9.57854406130268,19.5652173913043,34.5008756567426,1.00671140939597,-1.31736526946108,50.5507955936353
